Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,25.75728,75.37991
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,26.0705,73.8309
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,25.57051,73.61875
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,22.94894,74.95437
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,22.04432,86.82423
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,21.68333,76.68333
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,20.6492,78.48023
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,32.91833,74.42619
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,31.58911,77.03146
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,31.31655,77.14531
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,21.00586,78.94218
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,28.50254,77.23117
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,24.42368,76.28491
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,24.38108,76.34506
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,24.39072,76.48098
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,28.82562,77.98331
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,28.57122,77.77348
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,25.50684,82.12738
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,25.85717,83.63879
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,26.23188,80.88086
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,26.09717,81.05639
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,27.37721,82.63421
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,32.54352,75.46136
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,25.45178,73.4686
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,21.43635,75.274
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,31.15586,76.63206
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,31.37192,76.81383
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,23.42492,76.04311
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,28.22966,77.32362
India,deoli,150,Unhealthy,1,Good,38,Good,0,Good,150,Unhealthy,21.02817,83.06579
