Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
Portugal,chaves,14,Good,1,Good,12,Good,3,Good,14,Good,,
United States of America,chelsea,46,Good,1,Good,29,Good,8,Good,46,Good,,
China,chengkung,182,Unhealthy,2,Good,182,Unhealthy,8,Good,142,Unhealthy for Sensitive Groups,,
United States of America,chicago,64,Moderate,2,Good,12,Good,20,Good,64,Moderate,,
China,chihu,198,Unhealthy,3,Good,198,Unhealthy,14,Good,152,Unhealthy,,
Panama,chitre,80,Moderate,3,Good,11,Good,9,Good,80,Moderate,,
Brazil,chopinzinho,37,Good,1,Good,5,Good,2,Good,37,Good,,
China,chushan,201,Very Unhealthy,2,Good,201,Very Unhealthy,7,Good,151,Unhealthy,,
Mexico,cintalapa,59,Moderate,2,Good,24,Good,1,Good,59,Moderate,,
Indonesia,cirebon,71,Moderate,2,Good,53,Moderate,0,Good,71,Moderate,,
United States of America,clarksville,77,Moderate,3,Good,8,Good,31,Good,77,Moderate,,
Germany,coburg,59,Moderate,1,Good,36,Good,4,Good,59,Moderate,,
United States of America,cohoes,63,Moderate,2,Good,25,Good,7,Good,63,Moderate,,
United States of America,colton,85,Moderate,3,Good,6,Good,22,Good,85,Moderate,,
Mexico,comalcalco,142,Unhealthy for Sensitive Groups,2,Good,13,Good,3,Good,142,Unhealthy for Sensitive Groups,,
Benin,come,69,Moderate,1,Good,18,Good,1,Good,69,Moderate,,
Italy,concordia sagittaria,74,Moderate,1,Good,32,Good,4,Good,74,Moderate,,
United States of America,conyers,93,Moderate,3,Good,8,Good,30,Good,93,Moderate,,
Mexico,coquimatlan,70,Moderate,2,Good,11,Good,4,Good,70,Moderate,,
Mexico,coscomatepec,100,Unhealthy for Sensitive Groups,3,Good,7,Good,9,Good,100,Unhealthy for Sensitive Groups,,
Brazil,cosmopolis,53,Moderate,1,Good,6,Good,4,Good,53,Moderate,,
Mexico,cosoleacaque,108,Unhealthy for Sensitive Groups,2,Good,17,Good,3,Good,108,Unhealthy for Sensitive Groups,,
Brazil,cruz alta,20,Good,1,Good,9,Good,2,Good,20,Good,,
Malaysia,cukai,93,Moderate,1,Good,38,Good,0,Good,93,Moderate,,
Brazil,cupira,37,Good,0,Good,9,Good,2,Good,37,Good,,
Brazil,curitibanos,17,Good,0,Good,17,Good,0,Good,17,Good,,
India,dabhoi,139,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,139,Unhealthy for Sensitive Groups,22.18333,73.43333
Senegal,dakar,166,Unhealthy,1,Good,21,Good,2,Good,166,Unhealthy,,
India,davorlim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate,15.27221,73.99242
China,dayong,130,Unhealthy for Sensitive Groups,2,Good,130,Unhealthy for Sensitive Groups,0,Good,74,Moderate,,
United States of America,delaware,42,Good,1,Good,42,Good,3,Good,26,Good,,
Indonesia,deli tua,68,Moderate,2,Good,41,Good,0,Good,68,Moderate,,
Netherlands,den helder,38,Good,0,Good,38,Good,0,Good,36,Good,,
Belgium,denderleeuw,44,Good,1,Good,27,Good,4,Good,44,Good,,
United States of America,derry,30,Good,1,Good,30,Good,4,Good,23,Good,,
