Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
Italy,Casale Monferrato,75,Moderate,2,Good,29,Good,8,Good,75,Moderate,Casale Monferrato,Casale Monferrato,45.1342,8.4583,Italy,IT,ITA,Piedmont,,32204.0,1380727799.0
Peru,Casma,27,Good,0,Good,19,Good,0,Good,27,Good,Casma,Casma,-9.4742,-78.3106,Peru,PE,PER,Ancash,,29343.0,1604136455.0
Italy,Castellaneta,57,Moderate,1,Good,44,Good,2,Good,57,Moderate,Castellaneta,Castellaneta,40.6333,16.9333,Italy,IT,ITA,Puglia,,16181.0,1380977317.0
Italy,Castiglione Delle Stiviere,79,Moderate,2,Good,28,Good,7,Good,79,Moderate,Castiglione Delle Stiviere,Castiglione delle Stiviere,45.4,10.5,Italy,IT,ITA,Lombardy,,23556.0,1380170299.0
Chile,Castro,18,Good,0,Good,18,Good,1,Good,10,Good,Castro,Castro,-42.4667,-73.8,Chile,CL,CHL,Los Lagos,minor,33417.0,1152445107.0
Peru,Catacaos,43,Good,1,Good,19,Good,1,Good,43,Good,Catacaos,Catacaos,-5.2653,-80.675,Peru,PE,PER,Piura,,75870.0,1604229128.0
Italy,Cerreto Guidi,67,Moderate,1,Good,47,Good,3,Good,67,Moderate,Cerreto Guidi,Cerreto Guidi,43.7617,10.8771,Italy,IT,ITA,Tuscany,,10678.0,1380624568.0
Mauritius,Baie Du Tombeau,32,Good,0,Good,27,Good,0,Good,32,Good,Baie Du Tombeau,Baie du Tombeau,-20.1138,57.5066,Mauritius,MU,MUS,Pamplemousses,,14687.0,1480279659.0
China,Baisha,158,Unhealthy,3,Good,158,Unhealthy,2,Good,113,Unhealthy for Sensitive Groups,Baisha,Baisha,29.4896,119.337,China,CN,CHN,Zhejiang,,442709.0,1156988315.0
Thailand,Bang Kruai,59,Moderate,1,Good,23,Good,1,Good,59,Moderate,Bang Kruai,Bang Kruai,13.805,100.4728,Thailand,TH,THA,Nonthaburi,minor,42390.0,1764357378.0
Brazil,Barueri,170,Unhealthy,6,Good,1,Good,20,Good,170,Unhealthy,Barueri,Barueri,-23.5111,-46.8764,Brazil,BR,BRA,São Paulo,minor,316473.0,1076211114.0
Ukraine,Bashtanka,40,Good,1,Good,40,Good,0,Good,18,Good,Bashtanka,Bashtanka,47.4056,32.4375,Ukraine,UA,UKR,Mykolaivska Oblast,minor,12180.0,1804288779.0
Italy,Bassano Del Grappa,62,Moderate,2,Good,38,Good,4,Good,62,Moderate,Bassano Del Grappa,Bassano del Grappa,45.7667,11.7342,Italy,IT,ITA,Veneto,,42395.0,1380653190.0
Malaysia,Beaufort,63,Moderate,6,Good,36,Good,0,Good,63,Moderate,Beaufort,Beaufort,5.3473,115.7455,Malaysia,MY,MYS,Sabah,,12742.0,1458309122.0
Romania,Buftea,39,Good,1,Good,39,Good,2,Good,38,Good,Buftea,Buftea,44.57,25.95,Romania,RO,ROU,Ilfov,,20577.0,1642134624.0
Brazil,Cabo Frio,50,Good,1,Good,24,Good,2,Good,50,Good,Cabo Frio,Cabo Frio,-22.8789,-42.0189,Brazil,BR,BRA,Rio de Janeiro,minor,126828.0,1076449553.0
Philippines,Cadiz,54,Moderate,1,Good,23,Good,0,Good,54,Moderate,Cadiz,Cadiz,10.95,123.3,Philippines,PH,PHL,Negros Occidental,,158544.0,1608224037.0
Brazil,Caieiras,165,Unhealthy,6,Good,1,Good,19,Good,165,Unhealthy,Caieiras,Caieiras,-23.3642,-46.7406,Brazil,BR,BRA,São Paulo,minor,102775.0,1076000967.0
Peru,Cajabamba,27,Good,1,Good,4,Good,0,Good,27,Good,Cajabamba,Cajabamba,-7.6237,-78.046,Peru,PE,PER,Cajamarca,minor,22830.0,1604780784.0
Brazil,Campo Formoso,16,Good,0,Good,13,Good,0,Good,16,Good,Campo Formoso,Campo Formoso,-10.5089,-40.3208,Brazil,BR,BRA,Bahia,minor,71377.0,1076847580.0
Guatemala,Colomba,103,Unhealthy for Sensitive Groups,3,Good,6,Good,13,Good,103,Unhealthy for Sensitive Groups,Colomba,Colomba,14.7167,-91.7333,Guatemala,GT,GTM,Quetzaltenango,minor,56487.0,1320816498.0
Brazil,Conselheiro Pena,48,Good,1,Good,4,Good,2,Good,48,Good,Conselheiro Pena,Conselheiro Pena,-19.1719,-41.4719,Brazil,BR,BRA,Minas Gerais,minor,20824.0,1076535135.0
Chile,Coquimbo,29,Good,0,Good,29,Good,0,Good,20,Good,Coquimbo,Coquimbo,-29.9531,-71.3433,Chile,CL,CHL,Coquimbo,minor,204068.0,1152038253.0
Germany,Crailsheim,50,Good,1,Good,41,Good,3,Good,50,Good,Crailsheim,Crailsheim,49.1347,10.0706,Germany,DE,DEU,Baden-Württemberg,,36239.0,1276001596.0
Italy,Crispiano,58,Moderate,1,Good,47,Good,2,Good,58,Moderate,Crispiano,Crispiano,40.6,17.2333,Italy,IT,ITA,Puglia,,13139.0,1380058805.0
Brazil,Cruzeiro Do Oeste,50,Good,1,Good,14,Good,1,Good,50,Good,Cruzeiro Do Oeste,Cruzeiro do Oeste,-23.785,-53.0728,Brazil,BR,BRA,Paraná,minor,23831.0,1076303901.0
Indonesia,Tegal,149,Unhealthy for Sensitive Groups,4,Good,25,Good,9,Good,149,Unhealthy for Sensitive Groups,Tegal,Tegal,-6.8675,109.1375,Indonesia,ID,IDN,Jawa Tengah,,275789.0,1360035814.0
India,Tekanpur,168,Unhealthy,4,Good,45,Good,6,Good,168,Unhealthy,Tekanpur,Tekanpur,25.994,78.2832,India,IN,IND,Madhya Pradesh,,16926.0,1356120722.0
Kazakhstan,Tekeli,51,Moderate,1,Good,18,Good,1,Good,51,Moderate,Tekeli,Tekeli,44.83,78.8239,Kazakhstan,KZ,KAZ,Zhetisū,minor,30707.0,1398001451.0
Brazil,Terra Boa,30,Good,1,Good,16,Good,0,Good,30,Good,Terra Boa,Terra Boa,-23.7678,-52.4439,Brazil,BR,BRA,Paraná,minor,17568.0,1076442933.0
Brazil,Terra Boa,30,Good,1,Good,16,Good,0,Good,30,Good,Terra Boa,Terra Boa,-12.3919,-38.625,Brazil,BR,BRA,Bahia,minor,10798.0,1076578412.0
Mexico,Texcoco,320,Hazardous,5,Good,26,Good,10,Good,320,Hazardous,Texcoco,Texcoco,19.52,-98.88,Mexico,MX,MEX,México,minor,105165.0,1484653265.0
Pakistan,Thatta,117,Unhealthy for Sensitive Groups,1,Good,20,Good,2,Good,117,Unhealthy for Sensitive Groups,Thatta,Thatta,24.7461,67.9244,Pakistan,PK,PAK,Sindh,minor,220000.0,1586208265.0
Guatemala,Tiquisate,86,Moderate,2,Good,38,Good,2,Good,86,Moderate,Tiquisate,Tiquisate,14.2833,-91.3667,Guatemala,GT,GTM,Escuintla,minor,63971.0,1320708461.0
Mexico,Tlaxcoapan,151,Unhealthy,1,Good,32,Good,2,Good,151,Unhealthy,Tlaxcoapan,Tlaxcoapan,20.0953,-99.22,Mexico,MX,MEX,Hidalgo,,26758.0,1484883241.0
Japan,Tokyo,79,Moderate,1,Good,28,Good,17,Good,79,Moderate,Tokyo,Tokyo,35.687,139.7495,Japan,JP,JPN,Tōkyō,primary,37785000.0,1392685764.0
Japan,Tomioka,67,Moderate,2,Good,10,Good,11,Good,67,Moderate,Tomioka,Tomioka,36.2599,138.8899,Japan,JP,JPN,Gunma,,46928.0,1392639316.0
Spain,Torremolinos,42,Good,1,Good,42,Good,0,Good,30,Good,Torremolinos,Torremolinos,36.6218,-4.5003,Spain,ES,ESP,Andalusia,,70933.0,1724424815.0
Italy,Triggiano,60,Moderate,1,Good,52,Moderate,0,Good,60,Moderate,Triggiano,Triggiano,41.0667,16.9167,Italy,IT,ITA,Puglia,,25847.0,1380774515.0
Indonesia,Tuban,61,Moderate,1,Good,15,Good,3,Good,61,Moderate,Tuban,Tuban,-6.9,112.05,Indonesia,ID,IDN,Jawa Timur,minor,87947.0,1360482232.0
India,Tuni,93,Moderate,3,Good,40,Good,2,Good,93,Moderate,Tuni,Tuni,17.35,82.55,India,IN,IND,Andhra Pradesh,,254425.0,1356073049.0
Brazil,Tupi Paulista,51,Moderate,1,Good,28,Good,0,Good,51,Moderate,Tupi Paulista,Tupi Paulista,-21.3808,-51.5708,Brazil,BR,BRA,São Paulo,minor,15854.0,1076679633.0
India,Tura,75,Moderate,2,Good,23,Good,4,Good,75,Moderate,Tura,Tura,25.52,90.22,India,IN,IND,Meghālaya,,74858.0,1356555974.0
Belgium,Turnhout,46,Good,1,Good,39,Good,1,Good,46,Good,Turnhout,Turnhout,51.3231,4.9483,Belgium,BE,BEL,Flanders,minor,44136.0,1056378407.0
Germany,Uelzen,44,Good,1,Good,44,Good,0,Good,24,Good,Uelzen,Uelzen,52.9647,10.5658,Germany,DE,DEU,Lower Saxony,minor,33991.0,1276042012.0
Brazil,Vargem Grande,41,Good,0,Good,17,Good,0,Good,41,Good,Vargem Grande,Vargem Grande,-3.5428,-43.9158,Brazil,BR,BRA,Maranhão,minor,43261.0,1076198686.0
Serbia,Velika Plana,58,Moderate,1,Good,58,Moderate,0,Good,57,Moderate,Velika Plana,Velika Plana,44.3333,21.0833,Serbia,RS,SRB,Velika Plana,admin,40902.0,1688536735.0
Netherlands,Venlo,50,Good,1,Good,37,Good,1,Good,50,Good,Venlo,Venlo,51.37,6.1681,Netherlands,NL,NLD,Limburg,minor,37663.0,1528690544.0
